danceability,energy,instrumentalness,music_genre
0.488,0.379,4.01e-05,Country
,,,
0.615,0.713,0.8290000000000001,Jazz
0.685,0.595,3.9e-06,Country
0.298,0.581,0.0224,Blues
0.481,0.392,0.0,Country
,,,
0.489,0.6409999999999999,0.0,Rock
0.6779999999999999,0.402,0.0347,Jazz
0.583,0.66,0.0,Country
0.765,0.794,0.0129,Electronic
0.442,0.836,0.0018,Alternative
,,,
0.579,0.85,4.28e-06,Country
0.7929999999999999,0.578,0.926,Jazz
0.4589999999999999,0.727,0.065,Rock
0.466,0.372,0.0,Country
0.43,0.65,0.0,Country
,,,
0.698,0.8270000000000001,0.0,Jazz
0.7290000000000001,0.71,0.418,Electronic
0.621,0.176,0.0,Blues
0.546,0.6759999999999999,0.0811,Country
0.743,0.7040000000000001,0.0101,Jazz
0.7929999999999999,0.589,0.0,Hip-Hop
0.815,0.662,0.0004089999999999,Rap
0.812,0.755,0.0261,Jazz
0.518,0.0493,0.879,Jazz
0.623,0.237,0.917,Jazz
0.482,0.853,0.0,Country
0.5720000000000001,0.581,0.0,Hip-Hop
0.68,0.945,0.0754,Blues
0.6940000000000001,0.773,0.883,Electronic
0.727,0.6659999999999999,0.128,Electronic
0.517,0.7929999999999999,4.13e-05,Electronic
0.888,0.6859999999999999,0.243,Rap
0.624,0.774,2.37e-06,Country
0.5429999999999999,0.432,0.369,Rock
0.738,0.497,0.0964,Blues
,,,
0.568,0.853,7.13e-05,Electronic
0.5760000000000001,0.5589999999999999,0.00093,Blues
0.628,0.909,0.0,Alternative
0.521,0.856,0.0,Alternative
0.8859999999999999,0.479,4.25e-05,Rap
0.62,0.563,0.0,Hip-Hop
0.544,0.3879999999999999,0.0,Hip-Hop
0.46,0.379,0.866,Jazz
,,,
0.511,0.172,0.0049,Blues
0.797,0.521,0.3989999999999999,Jazz
0.539,0.938,3.44e-05,Alternative
0.7040000000000001,0.502,0.0,Country
0.447,0.826,0.8759999999999999,Jazz
0.611,0.471,0.312,Jazz
0.657,0.515,0.0,Rap
0.6970000000000001,0.775,0.0,Alternative
0.597,0.263,1.44e-05,Jazz
0.3429999999999999,0.835,0.6940000000000001,Blues
0.356,0.214,0.0161,Electronic
0.594,0.774,0.0,Alternative
0.809,0.725,0.0,Country
,,,
0.83,0.91,0.000367,Hip-Hop
0.856,0.396,4.88e-06,Alternative
0.6970000000000001,0.465,0.901,Electronic
0.349,0.35,0.0432,Jazz
,,,
0.5379999999999999,0.449,0.0,Hip-Hop
0.611,0.5660000000000001,0.0009539999999999,Rock
0.575,0.515,0.0,Hip-Hop
0.929,0.61,0.0,Rap
0.6509999999999999,0.61,1.1e-05,Hip-Hop
0.485,0.0849,0.873,Jazz
0.6659999999999999,0.775,0.0,Rap
0.522,0.144,0.8290000000000001,Classical
0.8079999999999999,0.611,0.904,Electronic
0.557,0.794,0.0,Country
0.535,0.354,1.24e-05,Rock
0.613,0.6809999999999999,0.0,Hip-Hop
0.349,0.35,0.0432,Electronic
0.622,0.851,0.0,Rap
0.574,0.489,0.00335,Hip-Hop
0.7190000000000001,0.765,0.00079,Rock
0.6990000000000001,0.77,0.000138,Rock
0.685,0.873,0.00125,Electronic
0.644,0.949,0.0,Country
,,,
0.465,0.424,0.0132,Blues
0.774,0.75,1.85e-05,Alternative
0.514,0.639,0.0,Country
0.552,0.76,0.0,Rap
0.267,0.3939999999999999,0.0788,Jazz
0.586,0.8290000000000001,0.0,Rap
0.625,0.52,0.0,Country
0.613,0.934,0.0003129999999999,Blues
0.321,0.425,0.000262,Rock
0.266,0.358,1.23e-05,Classical
0.418,0.907,0.000433,Alternative
0.787,0.544,0.0,Hip-Hop
0.68,0.561,0.0,Hip-Hop
0.401,0.511,0.00036,Blues
0.672,0.422,0.0,Hip-Hop
0.799,0.774,0.0213,Electronic
0.4479999999999999,0.475,0.0,Country
0.342,0.644,0.299,Rock
0.804,0.691,0.0,Country
0.852,0.419,4.17e-06,Hip-Hop
0.7440000000000001,0.568,0.0,Rap
0.858,0.706,0.596,Jazz
,,,
0.6629999999999999,0.5670000000000001,0.225,Blues
0.612,0.797,0.0,Hip-Hop
0.742,0.7170000000000001,0.0,Country
0.497,0.836,8.51e-05,Alternative
0.6409999999999999,0.879,0.0,Country
0.357,0.556,0.0,Alternative
,,,
0.5670000000000001,0.186,0.0,Country
0.37,0.115,0.933,Jazz
0.4639999999999999,0.81,0.0,Country
0.662,0.7879999999999999,0.141,Country
0.642,0.502,0.0,Country
0.953,0.616,0.0,Rap
0.88,0.428,5.07e-05,Rap
0.4639999999999999,0.71,0.0,Rap
0.357,0.178,0.00125,Jazz
0.48,0.923,6.28e-05,Blues
0.441,0.258,0.0,Rock
0.858,0.632,0.0,Hip-Hop
0.595,0.623,0.0,Country
0.764,0.643,0.0,Hip-Hop
0.3,0.574,2.27e-05,Country
0.608,0.445,0.0,Country
0.355,0.55,3.2e-05,Rock
0.505,0.757,0.0,Alternative
0.585,0.0139999999999999,0.929,Classical
0.319,0.408,0.0,Rock
0.655,0.8690000000000001,2.36e-05,Rap
0.917,0.555,1.38e-06,Blues
0.7240000000000001,0.843,0.0,Rap
0.5920000000000001,0.6779999999999999,0.0,Rap
0.721,0.7859999999999999,0.728,Electronic
0.552,0.95,1.17e-05,Country
0.773,0.508,0.102,Rap
0.598,0.5529999999999999,6.76e-06,Rock
0.715,0.723,0.000834,Hip-Hop
0.386,0.488,0.0,Rap
0.412,0.59,0.0325,Rock
0.767,0.851,1.57e-06,Jazz
0.4429999999999999,0.527,0.0,Rock
0.649,0.7879999999999999,0.0,Country
0.601,0.909,5.21e-05,Rock
0.693,0.754,0.0,Blues
0.682,0.831,0.0,Country
,,,
0.357,0.568,0.364,Electronic
0.815,0.521,0.0,Hip-Hop
0.581,0.561,0.000127,Electronic
0.733,0.6779999999999999,0.0,Rap
0.901,0.4639999999999999,1.7100000000000002e-05,Hip-Hop
0.392,0.884,6.790000000000001e-05,Rock
0.5489999999999999,0.916,0.123,Blues
0.509,0.6459999999999999,0.00468,Alternative
,,,
0.477,0.514,0.0,Country
,,,
0.637,0.89,1.9e-06,Rock
0.299,0.00765,0.934,Classical
0.5720000000000001,0.529,0.0,Country
0.69,0.773,9.15e-05,Jazz
0.608,0.5,0.845,Jazz
0.347,0.948,6.6e-05,Classical
0.285,0.894,0.0,Classical
,,,
0.638,0.469,0.0308,Electronic
0.639,0.7440000000000001,0.000458,Rock
0.6409999999999999,0.645,0.0444,Jazz
0.628,0.978,0.0336,Rock
0.7559999999999999,0.8079999999999999,0.664,Electronic
0.492,0.139,0.0333,Jazz
0.489,0.8640000000000001,1.22e-06,Country
,,,
0.4579999999999999,0.4029999999999999,0.302,Jazz
0.7140000000000001,0.387,0.0,Country
0.544,0.833,0.0303,Alternative
0.7929999999999999,0.588,0.746,Electronic
0.5479999999999999,0.914,0.879,Electronic
0.441,0.503,2.15e-06,Blues
0.7020000000000001,0.5529999999999999,0.103,Jazz
0.8290000000000001,0.63,1.32e-05,Rock
0.6679999999999999,0.828,7.89e-06,Hip-Hop
0.732,0.7120000000000001,2.04e-06,Rap
0.66,0.867,0.0,Rap
0.71,0.59,0.0,Hip-Hop
0.5720000000000001,0.516,0.952,Electronic
0.478,0.835,0.000519,Electronic
0.518,0.868,3.78e-05,Jazz
0.633,0.357,0.0,Rock
0.31,0.175,0.813,Alternative
0.597,0.652,0.0,Hip-Hop
0.922,0.427,0.0,Hip-Hop
0.657,0.96,0.000997,Alternative
0.797,0.623,0.0,Rap
0.6679999999999999,0.687,3.3e-05,Blues
0.263,0.144,0.6920000000000001,Classical
0.451,0.557,0.0,Hip-Hop
0.825,0.489,0.0,Rap
,,,
,,,
0.621,0.17,0.000118,Jazz
0.262,0.871,0.0,Alternative
0.5539999999999999,0.6559999999999999,3.03e-06,Blues
0.423,0.983,3.44e-06,Country
,,,
0.799,0.66,0.446,Electronic
0.846,0.497,0.0,Rap
0.421,0.946,0.00255,Alternative
0.575,0.591,0.0,Alternative
0.608,0.351,0.00892,Rock
0.705,0.21,0.88,Electronic
0.6779999999999999,0.3929999999999999,0.0,Hip-Hop
0.6579999999999999,0.602,0.7609999999999999,Electronic
0.575,0.8809999999999999,0.0077,Rock
0.428,0.925,8.77e-06,Blues
0.693,0.4639999999999999,0.0,Rap
0.701,0.6920000000000001,0.00999,Rock
0.723,0.486,0.00326,Blues
0.473,0.0622,0.0,Blues
0.6679999999999999,0.504,5.91e-06,Rap
0.494,0.802,0.0,Hip-Hop
0.314,0.593,3.02e-06,Blues
0.541,0.677,0.0191,Rock
0.126,0.0722,0.00417,Classical
,,,
0.365,0.966,0.395,Classical
0.914,0.367,4.429999999999999e-05,Jazz
0.6759999999999999,0.654,3.68e-05,Blues
0.618,0.943,0.0143,Electronic
0.898,0.7509999999999999,0.0,Hip-Hop
0.488,0.637,0.0,Country
0.639,0.492,0.0,Country
0.5820000000000001,0.4429999999999999,0.0,Alternative
0.531,0.6509999999999999,0.439,Electronic
0.489,0.8140000000000001,0.326,Classical
0.7559999999999999,0.491,1.18e-05,Classical
0.759,0.782,0.0,Hip-Hop
,,,
0.858,0.525,0.0073799999999999,Rap
0.653,0.2,0.00276,Jazz
0.602,0.598,0.0,Jazz
0.6629999999999999,0.848,1.23e-06,Hip-Hop
0.775,0.535,4.03e-06,Blues
0.431,0.816,0.0,Country
0.698,0.747,3.51e-06,Rap
,,,
0.8,0.759,0.0,Country
0.561,0.764,1.3699999999999998e-05,Alternative
0.5820000000000001,0.805,3.14e-06,Country
0.57,0.915,0.777,Electronic
0.6729999999999999,0.887,4.1e-06,Alternative
,,,
0.677,0.655,0.276,Hip-Hop
0.7240000000000001,0.2319999999999999,0.00893,Jazz
0.2269999999999999,0.542,0.239,Electronic
0.247,0.972,0.249,Blues
0.226,0.0604,0.902,Classical
0.645,0.7140000000000001,0.0,Rap
0.449,0.971,0.0,Rock
0.283,0.916,0.00597,Blues
0.841,0.7390000000000001,5.9e-05,Rap
0.8290000000000001,0.362,0.0,Hip-Hop
0.867,0.883,0.899,Electronic
0.437,0.481,2.08e-06,Country
,,,
0.631,0.645,0.926,Jazz
0.391,0.809,2.72e-06,Country
0.612,0.57,0.0,Country
0.894,0.625,0.0,Hip-Hop
0.1889999999999999,0.111,0.0011099999999999,Classical
0.799,0.496,0.00293,Alternative
0.764,0.695,0.823,Jazz
0.605,0.73,0.0026899999999999,Rap
0.8059999999999999,0.492,0.897,Electronic
0.685,0.875,0.0,Alternative
0.336,0.758,0.0,Rock
0.629,0.823,0.892,Electronic
0.605,0.386,0.0,Country
0.457,0.613,0.000441,Rock
,,,
0.5660000000000001,0.49,7.340000000000001e-05,Rock
0.642,0.179,0.00748,Jazz
0.698,0.488,0.00291,Blues
0.6940000000000001,0.628,3.49e-06,Jazz
0.7090000000000001,0.8220000000000001,2.11e-06,Alternative
0.322,0.6659999999999999,0.0,Alternative
0.591,0.8290000000000001,0.00214,Blues
0.775,0.551,0.0,Rap
0.6809999999999999,0.599,0.0,Rap
0.21,0.937,0.0182,Classical
0.662,0.763,0.0,Rap
0.662,0.642,0.0,Country
,,,
0.7659999999999999,0.655,0.0,Hip-Hop
0.655,0.747,1.29e-06,Country
0.544,0.625,0.00657,Rock
0.778,0.8590000000000001,0.774,Electronic
0.618,0.77,0.0,Rock
0.575,0.684,0.0,Rap
,,,
0.392,0.884,6.790000000000001e-05,Alternative
0.586,0.825,0.0,Country
0.654,0.762,0.0,Hip-Hop
0.239,0.851,0.000131,Classical
0.835,0.436,0.0,Rap
0.622,0.735,0.0467,Blues
0.402,0.97,2.62e-06,Rock
0.77,0.483,0.866,Jazz
0.635,0.275,0.143,Country
0.484,0.7909999999999999,0.0844,Alternative
0.8,0.691,0.0001409999999999,Rap
0.295,0.6,0.000784,Alternative
0.8420000000000001,0.596,0.0,Hip-Hop
0.782,0.406,0.0,Rap
0.907,0.7090000000000001,4.44e-06,Rap
0.706,0.5589999999999999,0.0,Rap
0.758,0.511,0.155,Electronic
0.772,0.737,9.39e-05,Hip-Hop
,,,
0.657,0.86,0.0,Rap
0.907,0.596,0.000193,Alternative
0.64,0.5329999999999999,0.0,Country
0.324,0.863,0.4629999999999999,Alternative
0.4029999999999999,0.746,0.8909999999999999,Electronic
0.437,0.546,0.00043,Alternative
0.452,0.962,0.0,Alternative
0.3879999999999999,0.91,0.00031,Blues
0.245,0.715,0.0,Rock
0.407,0.968,0.0,Rock
0.542,0.913,0.565,Electronic
0.0906,0.00555,0.983,Classical
0.583,0.491,0.000314,Hip-Hop
,,,
0.583,0.6890000000000001,0.0,Rock
0.211,0.455,0.0,Alternative
0.408,0.5429999999999999,2.8000000000000003e-05,Blues
0.574,0.713,0.00466,Country
0.253,0.391,0.0,Rock
0.512,0.789,0.0,Electronic
0.495,0.107,0.0131,Blues
0.743,0.4,0.0003109999999999,Hip-Hop
0.271,0.486,0.156,Alternative
0.772,0.649,0.0,Hip-Hop
0.7190000000000001,0.7929999999999999,0.0,Alternative
0.482,0.942,4.05e-05,Alternative
0.529,0.518,0.00314,Hip-Hop
,,,
0.685,0.939,0.0,Country
0.5660000000000001,0.654,0.0,Rap
0.479,0.893,0.0,Alternative
0.606,0.887,0.0,Rock
0.667,0.937,0.00147,Electronic
,,,
,,,
0.382,0.953,0.0,Rap
0.856,0.3929999999999999,0.0,Hip-Hop
0.483,0.944,5.6000000000000006e-05,Alternative
0.81,0.612,0.8540000000000001,Electronic
0.774,0.7759999999999999,0.0,Hip-Hop
0.682,0.616,0.5670000000000001,Alternative
0.312,0.0708,0.931,Classical
0.354,0.386,0.103,Country
0.675,0.6809999999999999,0.0,Hip-Hop
0.608,0.768,1.41e-06,Rock
0.532,0.6459999999999999,3.1e-05,Country
0.732,0.595,3.2500000000000004e-05,Hip-Hop
0.397,0.703,0.0,Alternative
0.498,0.935,8.1e-05,Rock
0.71,0.498,0.0,Rock
0.531,0.501,0.904,Jazz
0.693,0.586,1.3800000000000002e-05,Alternative
0.632,0.254,9.06e-05,Rock
0.779,0.497,0.00134,Electronic
0.688,0.848,7.43e-05,Blues
0.741,0.615,0.000344,Country
0.401,0.698,0.0,Alternative
0.758,0.62,7.8e-05,Rap
0.8029999999999999,0.6709999999999999,2.51e-05,Hip-Hop
0.476,0.7809999999999999,0.581,Blues
0.638,0.708,0.0,Rap
0.509,0.298,1.36e-06,Country
0.612,0.389,4.23e-05,Rap
0.733,0.908,6.06e-06,Jazz
0.5770000000000001,0.627,1.24e-06,Alternative
0.695,0.39,0.0,Country
0.509,0.897,0.0,Alternative
0.532,0.178,0.14,Rock
0.735,0.8440000000000001,0.0,Rap
0.804,0.387,0.0,Rap
0.0819,0.134,0.912,Classical
0.19,0.0144,0.193,Classical
0.8690000000000001,0.3929999999999999,0.595,Jazz
0.4629999999999999,0.809,0.00665,Country
0.632,0.8759999999999999,0.0,Rock
0.584,0.7709999999999999,0.0,Country
0.879,0.386,0.000103,Alternative
,,,
0.447,0.993,0.027,Alternative
0.7140000000000001,0.427,0.904,Electronic
,,,
0.644,0.478,0.00376,Rock
0.5379999999999999,0.7879999999999999,0.0,Country
,,,
0.84,0.417,0.0,Blues
,,,
0.657,0.695,0.0,Country
0.5770000000000001,0.648,0.0331,Blues
0.7440000000000001,0.743,0.67,Electronic
0.718,0.628,0.0,Hip-Hop
,,,
0.57,0.8270000000000001,0.182,Alternative
0.606,0.691,2.28e-06,Country
0.609,0.836,0.0,Rap
0.425,0.402,8.55e-06,Alternative
0.679,0.341,0.764,Jazz
0.642,0.44,0.002,Hip-Hop
0.484,0.7759999999999999,0.109,Rock
0.597,0.631,3.75e-05,Blues
0.295,0.15,0.208,Rock
,,,
,,,
0.823,0.411,0.00135,Alternative
0.0983,0.022,0.8909999999999999,Classical
0.6809999999999999,0.6759999999999999,0.924,Jazz
0.314,0.483,0.0269,Rock
0.633,0.327,0.127,Jazz
0.579,0.499,2.51e-06,Country
0.499,0.591,1.03e-06,Classical
,,,
0.595,0.7120000000000001,0.0,Electronic
0.8,0.485,0.0443,Jazz
0.477,0.998,0.635,Electronic
0.779,0.6709999999999999,1.12e-05,Rap
0.547,0.599,0.679,Rock
0.698,0.7509999999999999,0.0052299999999999,Blues
0.3779999999999999,0.606,0.84,Electronic
0.745,0.4529999999999999,0.0354,Alternative
0.644,0.528,0.0362,Jazz
0.8290000000000001,0.248,0.0,Blues
0.523,0.746,0.0035299999999999,Country
0.37,0.481,0.852,Classical
0.62,0.655,0.118,Jazz
0.547,0.127,1.58e-05,Country
0.532,0.935,8.37e-06,Rock
0.491,0.8390000000000001,0.0506,Alternative
0.45,0.00274,0.967,Classical
0.487,0.769,0.0,Country
0.432,0.926,0.887,Jazz
,,,
0.604,0.773,3.63e-06,Country
0.5770000000000001,0.789,0.0105,Rock
0.746,0.606,0.0,Alternative
0.7709999999999999,0.452,0.0,Hip-Hop
0.579,0.862,0.0637,Electronic
0.54,0.37,0.000932,Blues
0.578,0.777,0.0,Blues
0.8009999999999999,0.581,0.000296,Rap
0.4039999999999999,0.272,0.000907,Rock
0.541,0.283,0.0367,Blues
0.4639999999999999,0.0059,0.904,Jazz
0.547,0.7340000000000001,0.0,Country
0.619,0.833,0.0204,Blues
0.562,0.716,2.64e-05,Electronic
0.61,0.726,0.00244,Rock
0.336,0.8220000000000001,0.0,Alternative
0.66,0.784,0.0,Hip-Hop
0.387,0.0451,0.913,Classical
0.622,0.2289999999999999,0.0090599999999999,Rap
0.474,0.994,0.126,Rap
0.653,0.3279999999999999,0.003,Rock
0.6559999999999999,0.347,0.00221,Rock
0.7659999999999999,0.374,0.000107,Alternative
0.29,0.907,5.14e-05,Blues
0.6759999999999999,0.486,0.0,Rock
0.933,0.718,2.04e-05,Rap
0.878,0.5670000000000001,0.0133,Electronic
0.474,0.405,0.00261,Jazz
0.636,0.481,0.0,Rap
0.509,0.75,0.0,Rock
0.5329999999999999,0.957,0.00244,Rap
0.471,0.313,0.209,Blues
0.41,0.7959999999999999,0.000156,Country
0.574,0.563,9.39e-05,Rock
0.364,0.135,0.929,Jazz
0.6459999999999999,0.927,0.711,Electronic
,,,
,,,
0.181,0.987,0.00514,Blues
0.643,0.884,0.0,Country
0.397,0.133,0.17,Classical
0.479,0.715,0.441,Classical
0.638,0.6990000000000001,0.0,Rock
,,,
0.411,0.962,0.0,Rock
0.6970000000000001,0.813,0.0232,Country
0.124,0.309,0.8,Classical
0.362,0.6579999999999999,0.0102,Rock
0.585,0.4579999999999999,0.00325,Blues
0.183,0.0678,0.8959999999999999,Classical
0.349,0.921,0.875,Blues
0.565,0.369,3.48e-05,Country
0.6459999999999999,0.821,0.0254,Blues
0.693,0.489,0.00234,Rock
0.602,0.8490000000000001,0.0,Hip-Hop
0.66,0.3829999999999999,0.0,Rap
0.6890000000000001,0.385,0.00464,Jazz
0.597,0.7959999999999999,0.0935,Alternative
,,,
0.5720000000000001,0.456,0.0,Country
0.469,0.867,6.87e-06,Country
0.532,0.943,0.000587,Rock
0.6859999999999999,0.7509999999999999,0.000849,Rock
0.65,0.653,5.96e-05,Country
0.652,0.7440000000000001,0.0,Alternative
0.795,0.691,0.0,Hip-Hop
0.626,0.936,4.41e-06,Country
0.7390000000000001,0.847,0.0,Rock
0.826,0.8029999999999999,0.22,Electronic
0.347,0.444,0.00166,Blues
0.4429999999999999,0.7390000000000001,0.0,Blues
0.422,0.98,0.0105,Electronic
0.785,0.528,0.0,Rap
0.4539999999999999,0.947,0.0,Rock
0.136,0.0868,0.506,Classical
0.7909999999999999,0.848,0.0,Hip-Hop
0.616,0.946,0.00328,Country
0.424,0.945,0.0014199999999999,Country
0.574,0.284,0.0,Blues
0.276,0.0518,0.805,Classical
,,,
0.545,0.862,0.0,Rap
0.848,0.507,2.4e-06,Hip-Hop
0.4539999999999999,0.989,0.0,Alternative
0.773,0.4639999999999999,0.943,Jazz
0.585,0.972,0.0,Alternative
0.457,0.264,0.736,Jazz
0.755,0.63,0.0,Rap
0.84,0.344,3.3600000000000004e-05,Alternative
0.3329999999999999,0.8,0.000148,Blues
0.46,0.601,0.715,Rock
,,,
0.38,0.4379999999999999,1.29e-05,Alternative
0.911,0.614,8.75e-06,Hip-Hop
,,,
0.979,0.432,0.9,Electronic
0.599,0.784,0.0,Electronic
0.768,0.472,2.35e-05,Jazz
0.606,0.835,1.11e-06,Hip-Hop
0.585,0.7559999999999999,0.0,Hip-Hop
,,,
0.69,0.638,0.0,Alternative
0.204,0.275,0.295,Classical
0.489,0.718,0.0,Rap
0.718,0.56,0.0,Rap
0.589,0.981,0.501,Electronic
0.7140000000000001,0.747,0.0,Country
0.617,0.8859999999999999,9.63e-05,Rock
0.583,0.56,0.0,Country
0.7,0.718,0.0,Hip-Hop
0.6859999999999999,0.457,0.0,Rock
0.613,0.8390000000000001,0.0,Country
0.777,0.7609999999999999,0.0,Hip-Hop
0.61,0.7959999999999999,0.0,Rock
0.6859999999999999,0.6940000000000001,0.0,Rap
0.6759999999999999,0.113,1.56e-05,Jazz
0.647,0.595,0.000118,Jazz
0.456,0.603,4.56e-05,Electronic
0.618,0.8170000000000001,0.0,Hip-Hop
0.6409999999999999,0.956,0.000592,Blues
0.513,0.537,1.43e-06,Jazz
0.609,0.296,0.0,Country
0.58,0.494,0.0482,Electronic
0.711,0.57,0.0,Rap
0.86,0.408,0.0,Rap
0.62,0.912,0.0,Country
0.1689999999999999,0.148,0.959,Classical
0.5479999999999999,0.732,0.0,Rap
0.693,0.725,0.00278,Electronic
0.497,0.688,0.0,Country
0.447,0.4,1.25e-05,Jazz
0.6970000000000001,0.57,0.0,Rap
0.8170000000000001,0.866,0.623,Electronic
0.7120000000000001,0.5529999999999999,0.0565,Jazz
0.628,0.903,0.00115,Electronic
0.727,0.7240000000000001,0.271,Jazz
0.7879999999999999,0.4629999999999999,0.857,Electronic
0.65,0.942,0.417,Electronic
0.6940000000000001,0.949,0.12,Electronic
0.635,0.889,0.38,Electronic
0.281,0.369,0.964,Rock
0.603,0.825,2.9e-06,Rock
0.6629999999999999,0.623,0.00164,Blues
0.613,0.5760000000000001,4.63e-06,Rap
0.655,0.593,0.431,Jazz
0.161,0.223,0.00027,Classical
0.738,0.519,0.0,Rap
0.747,0.472,1.18e-05,Alternative
0.6679999999999999,0.879,0.451,Electronic
0.441,0.908,0.00328,Rock
0.797,0.355,0.0015199999999999,Jazz
0.544,0.626,0.0,Hip-Hop
0.551,0.516,0.00015,Alternative
0.609,0.995,0.00206,Alternative
0.745,0.713,0.0,Hip-Hop
0.743,0.723,2.02e-05,Electronic
,,,
0.603,0.469,0.738,Jazz
0.331,0.961,0.0,Rock
,,,
0.551,0.452,0.0,Country
0.644,0.912,0.647,Alternative
0.513,0.346,0.0015199999999999,Country
0.68,0.687,0.0,Hip-Hop
0.769,0.96,0.0,Hip-Hop
0.625,0.733,0.88,Country
0.207,0.972,0.0158,Alternative
0.61,0.774,0.0,Country
0.534,0.6629999999999999,0.0184,Alternative
0.662,0.85,0.879,Electronic
0.511,0.7979999999999999,6.51e-06,Country
0.4629999999999999,0.7659999999999999,1.66e-05,Alternative
0.556,0.7809999999999999,0.033,Blues
0.612,0.705,0.0,Rap
0.6729999999999999,0.722,0.0,Rock
0.73,0.494,0.0,Rap
,,,
0.941,0.631,1.8e-06,Hip-Hop
,,,
0.4539999999999999,0.284,0.0934,Country
0.7090000000000001,0.589,0.0,Rap
0.496,0.701,0.000111,Blues
,,,
0.877,0.5579999999999999,0.0,Rap
0.603,0.995,0.0298,Electronic
0.667,0.736,3.14e-05,Electronic
,,,
0.235,0.248,0.8340000000000001,Classical
0.4429999999999999,0.5589999999999999,1.17e-05,Country
0.509,0.7120000000000001,0.0,Alternative
,,,
